Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Clock [MHz],3000.5163,3000.2435,3000.7841,3000.2958,3000.5963,3000.0612,3000.4934,3000.5139,3000.5052,3000.4815,3000.6224,3000.5773,3000.6376,3000.7678,3000.7732,3000.7433,3000.2875,3000.5319,3000.5373,3000.5914,3000.5457,3000.5367,3000.5563,3000.3920,3000.4806,3000.5578,3000.6819,3000.7015,3000.4688,3000.6393,3000.3639,3000.4900,3000.4917,3000.3098,3000.6129,3000.3731,3000.4274,3000.3692,3000.5509,3000.5159,3000.4701,3000.4486,3000.4320,3000.4895,3000.5515,3000.3760,3000.4127,3000.4723,3000.5275,3000.4780,3000.3612,3000.5727,3000.5594,3000.3571,3000.5056,3000.4128,3000.5525,3000.2463,3000.6027,3000.6709,3000.7766,3000.6565,3000.5918,3000.5278,3000.7919,3000.5192,3000.5441,3000.5663,3000.5190,3000.3996,3000.4974,3000.5390,3000.3519,3000.5010,3000.0514,3000.5131,3000.6545,3000.6379,3000.6105,3000.4296,3000.4745,3000.4577,3000.5523,3000.5384,3000.5421,3000.4894,3000.5244,3000.5913,3000.4032,3000.4843,3000.4954,3000.7042,3000.2100,3000.7430,3000.4618,3000.5264,3000.5262,3000.5006,3000.4991,3000.4430,3000.5180,3000.5034,3000.1724,3000.4925,3000.3790,3000.1067,3000.4785,3000.5602,3000.4492,3000.6700,3000.3131,3000.7248,
CPI,0.5482,0.5431,0.5326,0.5304,0.5344,0.5328,0.5290,0.5261,0.5227,0.5246,0.4876,0.4904,0.4816,0.4897,0.4952,0.4821,0.4860,0.4842,0.5265,0.5380,0.5422,0.5370,0.5327,0.5285,0.5272,0.5337,0.5393,0.5423,0.5395,0.5386,0.5383,0.5344,0.5407,0.5462,0.5461,0.5485,0.5533,0.5338,0.5383,0.5416,0.5436,0.5414,0.5426,0.5503,0.5456,0.5499,0.5386,0.5443,0.5467,0.5478,0.5460,0.5511,0.5404,0.5451,0.5483,0.5510,0.5786,0.5687,0.5695,0.5797,0.5719,0.5677,0.5631,0.5640,0.4789,0.5618,0.5630,0.4801,0.4806,0.4798,0.4816,0.4787,0.4816,0.4833,0.4807,0.5777,0.5489,0.4785,0.5452,0.5473,0.5468,0.4806,0.5462,0.5482,0.5378,0.5459,0.5522,0.4824,0.4860,0.5498,0.4865,0.5546,0.5536,0.4828,0.4848,0.4807,0.4833,0.5585,0.4807,0.4805,0.4804,0.5443,0.4800,0.4812,0.5460,0.4866,0.4834,0.4852,0.4823,0.5448,0.4793,0.4809,
L2D load bandwidth [MBytes/s],877.1742,880.6783,876.6723,877.1635,878.8270,879.2627,878.3403,879.2011,876.8689,879.6742,834.6974,838.1040,834.0716,837.6755,835.0996,831.9456,833.6913,833.5811,877.1798,879.9486,875.9068,879.3057,878.4459,880.1873,879.1129,878.8994,881.3922,880.8526,879.3988,875.5162,877.3926,879.5318,879.4655,879.8460,876.4995,879.8074,880.0109,877.0414,877.2618,877.0139,879.9730,876.0766,879.2318,879.2745,879.7432,876.3857,879.1427,880.9311,877.1874,879.9602,880.2679,880.3552,879.1264,879.1132,881.5575,876.6305,876.4301,880.8791,880.2858,875.9240,881.1454,878.7433,876.9747,875.7882,834.4378,878.1213,879.4231,832.2177,835.1184,832.2688,836.7415,834.1680,834.5002,837.6988,837.0149,878.7648,880.7753,835.4030,876.9519,879.9842,878.4553,836.1604,880.0946,876.4628,875.0859,877.5324,877.3017,836.2856,837.7979,879.4657,836.4546,878.0975,876.7570,837.0900,838.1590,833.8623,833.8044,878.6723,833.7282,839.8016,836.9132,878.0830,838.0585,832.0761,881.8360,834.6301,834.9645,832.8578,832.6873,875.2992,831.7949,838.3575,
L2D load data volume [GBytes],0.3457,0.3471,0.3455,0.3454,0.3461,0.3463,0.3459,0.3462,0.3452,0.3464,0.3288,0.3301,0.3285,0.3299,0.3291,0.3276,0.3286,0.3283,0.3457,0.3465,0.3452,0.3465,0.3462,0.3466,0.3464,0.3464,0.3470,0.3471,0.3463,0.3448,0.3456,0.3462,0.3464,0.3465,0.3452,0.3465,0.3465,0.3453,0.3455,0.3453,0.3468,0.3449,0.3462,0.3463,0.3464,0.3451,0.3462,0.3468,0.3454,0.3465,0.3466,0.3466,0.3462,0.3462,0.3471,0.3452,0.3450,0.3468,0.3466,0.3448,0.3469,0.3460,0.3452,0.3449,0.3285,0.3457,0.3462,0.3276,0.3288,0.3277,0.3294,0.3284,0.3285,0.3298,0.3296,0.3459,0.3468,0.3289,0.3453,0.3465,0.3458,0.3292,0.3465,0.3451,0.3445,0.3455,0.3458,0.3292,0.3299,0.3463,0.3293,0.3457,0.3452,0.3296,0.3300,0.3283,0.3283,0.3459,0.3282,0.3306,0.3294,0.3457,0.3299,0.3276,0.3471,0.3286,0.3287,0.3278,0.3278,0.3445,0.3275,0.3302,
TABLE,Region viterbi_omp_opt,Group 1 Metric STAT,L2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,44.1032,0.3936,0.3942,0.3938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,6.0565,0.0485,0.0601,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,336056.3399,3000.0514,3000.7919,3000.5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,58.8073,0.4785,0.5797,0.5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2D load bandwidth [MBytes/s] STAT,96796.0901,831.7949,881.8360,864.2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2D load data volume [GBytes] STAT,38.1164,0.3275,0.3471,0.3403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
